0,9 liter	quart
acid test	batu uji
acidulate	mengasamkan
acidulous	mengandung asam
acid weak	asam lemah
acion	aksi
acknowledge	mengakui adanya
acknowledged	mengakui
acknowledged the corn	mengakui kesalahan
acknowledgement	pengakuan
acknowledge the corn	mengakui kesalahan
acknowledging	mengetahui
acknowledging the corn	mengakui kesalahan
acknowledgment	pengakuan
a clean break	penghancur leburan
a clear picture of	satu gambaran jernih tentang
a clear voice	suara nyaring
aclinic	aklinik
aclinic line	ekuator maknetis
a close friend	sahabat karib
AC machine	mesin AC
AC machine unit	unit mesin AC
acme	puncak
acne	jerawat
a cock and bull story	cerita mustahil
a cold snap	dingin mendadak
acolyte	misdinar
a commanding view	pandangan menyeluruh
a common means of	suatu cara yang umum untuk
a company of	sekawanan
a considerable degree	sebuah derajad yang bisa dipertanggung jawabkan
a considerable part	sebagian besar
a contingent	serombongan
a convalescent	orang yang baru sembuh
a cool hand	pikiran tenang
a coon's age	waktu sangat lama
a cooperative society	koperasi
acorn	biji pohon ek
a couple	sepasang
a couple of birds	sepasang burung
a couple of days	dua hari
a couple of married	sepasang suami-istri
acoustic	akustik
acoustic absorption	serapan akustik
acoustic admittance	admitans akustik
acoustic admittance of oscillator	admitans akustik osilator
acoustic admittance of string	admitans akustik dawai
acoustic admittance ratio	nisbah admitans akustik
acoustic admittance ratio of horn	nisbah admitans akustik corong
acoustic admittance ratio of surface	nisbah admitans akustik permukaan
acoustical	akustis
acoustical branch	cabang akustis
acoustical element	unsur akustis
acoustical impedance	akustik empedansi
acoustical mirage	bayangan akustis
acoustical propagation constant	tetapan-rambat akustis
acoustical reciprocity theorem	teorema timbal-balikan akustis
acoustical resonance	talunan akustis
acoustical well-logging	pendataan sumur akustis
acoustic approximation	hampiran akustik
acoustic axis	sumbu akustik
acoustic band-pass filter	tapis lolos-pita akustik
acoustic branch	cabang akustik
acoustic centre	pusat akustik
acoustic comfort index	angka kenyamanan akustik
acoustic compensator	pemampas akustik
acoustic compliance	komplians akustik
acoustic conductance ratio	nisbah hantaran akustik
acoustic cross section	tampang-lintang akustik
acoustic detector	detektor akustik
acoustic dispersion	tebaran akustik
acoustic dissipation	unsur lesap akustik
acoustic domain	ranah akustik
acoustic doublet	kembar akustik
acoustic-energy corollary	korolari tenaga-akustik
acoustic energy dissipation rate	laju lesap akustik
acoustic-energy dissiption rate	laju lesapan tenaga-akustik
acoustic-energy flux	fluks tenaga akustik
acoustic figiri	lukisan bunyi
acoustic filter	tapis akustik
acoustic fluid velocity	kecepatan zalir akustik
acoustic generator	pembangkit akustik
acoustic grating	kekisi akustik
acoustic-gravity waves	gelombang gravitas akustik
acoustic high-pass filter	tapis lolos atas akustik
acoustic image	santir akustik
acoustic imaging	penyantiran akustik
acoustic impedance	impedans akustik
acoustic impedance at diaphragm	impedans akustik diafragma
acoustic impedance in wall	impedans akustik dinding
acoustic impedance of catenoidal horn	impedans akustik corona katenoidal
acoustic impedance of conical horn	impedans akustik corong runjung
acoustic impedance of constriction	impedans akustik sempitan
acoustic impedance of exponential horn	impedans akustik corong eksponensial
acoustic impedance of horn	impedans akustik corong
acoustic impedance of opening	impedans akustik bukaan
acoustic impedance of piston in sphere	impedans akustik piston dalam bola
acoustic impedance of tank	impedans akustik tangki
acoustic impedance ratio	nisbah impedans akustik
acoustic inertance	lembamam
acoustic intensity	intensitas akustik
acoustic log	log akustik
acoustic low-pass filter	tapis pelewat-rendah akustik
acoustic mass	massa akustik
acoustic mass reactance	reaktans massa akustik
acoustic microscope	mikroskop akustik
acoustic mobility	kelincahan akustik
acoustic-mobility analogy	analogi kelincahan akustik
acoustic-mobility matrix	matriks kelincahan akustik
acoustic mode	ragam akustik
acoustic mode vibration	getaran ragam akustik
acoustic nerve	saraf akustik
acoustic noise	derau akustik
acoustic ohm	ohm akustik
acoustic phonon	fonon akustik
acoustic plane wave	gelombang bidang akustik
acoustic power	daya akustik
acoustic power of voice	daya akustik suara
acoustic power unit	satuan daya akustik
acoustic pressure	tekanan akustik
acoustic radar equation	persamaan radar akustik
acoustic radiation	sinaran akustik
acoustic radiation impedance	impedans sinaran akustik
acoustic-radiation resistance	hambatan sinaran akustik
acoustic rarefaction	renggang akustik
acoustic ratio	nisbah akustik
acoustic reactance	aral akustik
acoustic reactance ratio	nisbah reaktans akustik
acoustic reciprocity	timbal-balikan akustik
acoustic reflection	pantulan akustik
acoustic reflectivity	keterpantulan akustik
acoustic reflex	refleks akustik
acousticrefraction	pembiasan akustik
acoustic resistance	hambatan akustik
acoustic resistance ratio	nisbahhambatan akustik
acoustic resonance	talunan akustik
acoustic resonator	penalun akustik
acoustic responsiveness	tanggapan akustik
acoustics	ilmu suara
acoustics admittance\\of oscillator	admitans akustik osilator
acoustics branch	cabang akustik
acoustic scattering	hamburan akustik
acoustic shadow	sombar akustik
acoustic speed	laju akustik
acoustic strain gauge	alat ukur regangan akustik
acoustic susceptance	rentanan akustik
acoustic susceptance ratio	nisbah rentanan akustik
acoustics waves	gelombang akustik
acoustic transmission	transmisi akustik
acoustic vibration	getaran-suara
acoustic wave	gelombang akustik
acoustic waves	gelombang akustik
acoustilog	akustilog
acoustoelectric amplifier	penguat akustoelektrik
acoustoelectric effect	efek akustoelektrik
acoustoelectronics	akustoelektronika
acoustooptic modulation	modulasi akusto-optik
Acoustooptics	akusto-optika
acoutistic	kehantaran akustik
acoutistic conductivity	kehantaran akustik
acquaint	memperkenalkan
acquaintance	kenalan
acquaintanceship	perkenalan
acquainted	berkenalan
acquainted in	mengenali
acquainting	memperkenalkan
acquiesced in	menyetujui
acquiesce in	menyetujui
acquiescing in	menyetujui
acquire	memperoleh
acquire currency	beredar
acquired	memperoleh
acquired motive pattern	pola motif perolehan
acquired pattern	pola yang dipelajari
acquirement	pemenuhan
acquiring	memperoleh
acquisition	didapatnya
acquisition cost	biaya pemerolehan
acquisition of	pengadaan
acquisitive	bersifat memperoleh
acquisitive cultural urge	hasrat kultural pemilikan
acquit	membebaskan/ bertingkah-laku
acquital	putusan pembebasan dari tuduhan
acquitance	persetujuan pembebasan
acquited	membebaskan/ bertingkah-laku
acquiting	membebaskan/ bertingkah-laku
acquittal	pembebasan dari tuduhan
acquitted	membebaskan/ bertingkahlaku
acquitted of	memenuhi
a crack hand at	mahir akan
acre	akre
acreage	diukur dalam are
a credit to	kebanggaan
a crick in one's neck	kejang leher
acrid	tajam
acridity	komentar/bau yang tajam
acrimonious	sengit
acrimony	kesengitan
acrobat	akrobat
acrobatic	akrobatik
acrobatic aircraft	pesawat akrobatik
acrobatics	akrobatik
acronym	singkatan
acrophobe	penggamang
acrophobia	gamang
across	ke seberang
acrossed lots	memintas
acrossing lots	memintas
across lots	memintas
across the board	berlaku untuk semua orang
acrostic	sanjak tersusun
acroterion	akroterium
a crystal clear voice	suara yang bening dan jelas
act	bertindak
act age	bertindak sesuai umur
act a good part	beraksi dengan baik
act a part	bersandiwara
act as	bertindak sebagai
act as brake in	mengontrol
acted	bertindak
acted age	bertindak sesuai umur
acted a good part	beraksi dengan baik
acted a part	bersandiwara
acted as	bertindak sebagai
acted as brake in	mengontrol
acted for	bertindak atas nama
acted from impulse	sentimen
acted in bad faith	berbuat tidak jujur
acted in good faith	berbuat secara jujur
acted on	mematuhi
acted on advice	turut nasehat
acted out	memainkan peranan
acted part	menuaikan kewajiban
acted toward	memelihara
acted up	bertindak tidak baik
acted upon	melaksanakan
acted up to	taat kepada
act for	bertindak atas nama
act from impulse	sentimen
act in bad faith	berbuat tidak jujur
acting	bertindak
acting age	bertindak sesuai umur
acting a good part	beraksi dengan baik
acting a part	bersandiwara
acting as	bertindak sebagai
acting as brake in	mengontrol
Acting Director	Pejabat Direktur
acting double	bekerja ganda
acting double stram engine	mesin uap kerja ganda
acting for	bertindak atas nama
acting from impulse	sentimen
acting in	bertindak sebagai
acting in bad faith	berbuat tidak jujur
acting indirect	bekerja tak langsung
acting in good faith	berbuat secara jujur
acting manager	pemimpin perusahaan
acting mayor	wakil walikota
acting on	bertintak pada
acting on advice	turut nasehat
act in good faith	berbuat secara jujur
acting out	memerankan
acting partner	peserta aktif
acting president	penjabat presiden
acting single-steam-engine	mesin uap kerja tunggal
acting time	waktu bertindak
acting up	bertindak tidak baik
acting upon	bertindak sesuai dengan
acting up to	taat kepada
act in haste	bertindak dengan tergesa
actinic	aktinisma
actinism	aktinisma
action	tindakan
action-angle	sudut aksi
action at a distance	aksi dari jauh
action at a distance theory	teori aksi dari jauh
action capillary	kerja kapiler
action chemical	kerja kimia
action cycle	siklus tindakan
action electric	kerja elektrik
action integral	integral aksi
action magnetic	kerja maknetis
action motor	motor tekanan rata
action of debt	transaksi untuk memperoleh pembayaran hutang
action of field	medan kerja garis gaya
action of force	kerja-gaya
action painting	lukisan abstrak cat basah
action partner	peserta aktif
action plan	rencana tindakan
action rational	tindakan rasional
action replay	peristiwa ulang di tv
action research	riset di bidang ilmu
action spring	pemegasan
action stations	posisi serdadu perang
action stock level	tingkat aksi-stok
action system	sistem bertindak
action turbine	turbin tekanan rata
action variable	perubah aksi
actio pauliana	aksio pauliana
activ	pendudu
activate	mengaktipkan
activated	mengaktipkan
activated alumina	alumina teraktivasi
activated cathode	katode teraktivasi
activated diffusion	bauran [difusi] teraktivasi
activated sludge	lumpur sampah diaktifkan
activating	mengaktipkan
activation	pengaktifan
activation analysis	analisis aktivasi
activation cross section	tampang-lintang aktivasi
activation detector	detektor pengaktifan
activation energy	tenaga pengaktifan
activation foil	kerjang pengaktifan
activator	penggerak
active	aktip
active account	rekening aktif
active agent	penyerasi
active alloy process	proses lakur aktif
active balance	timbangan positif
active carbon trap	perangkap karbon aktif
active circulation	jumlah uang beredar
active component	komponen aktif
active current	arus aktif
active debt	hutang yang masih harus dilunasi
active earth pressure	desakan tanah aktif
active electromative force	gaya elektromatoris aktif
active file	file aktif
active files	kumpulan surat penting
active filter	tapis aktif
active force	kakas aktif
active form	bentuk aktif
active getter	penangkap aktif
active immunity	kekebalan aktif
active lattice	kekisi aktif
active layer	lapisan aktif
actively	dengan aktip
active market	pasar aktif
active mass	massa aktif
active material	bahan-bahan aktif
active money	uang aktif
active network	jejala aktif
active partner	kongsi aktif
active power	daya aktif
active pressure	tegangan kerja
active realizable	aktiva yang segera dapat diuangkan
active region	daerah aktif
active service	dinas aktif
active sonar	sonar aktif
active state	keadaan aktif
active stroke	langkah kerja
active substrate	substrat aktif
active valence	valensi aktif
activist	aktifis
activitas	sistem
activities	aktivitas
activities programme	program acara
activity	aktivitas
activity chart	bagan kegiatan
activity coefficient	koefisien aktivitas
activity concentration	kadar keaktifan
activity of work	aktivitas kerja
activity-oriented	berorientasi aktivitas
activity proposal list	daftar usulan kegiatan
activity ratio	nisbah kegiatan
activity sampling	pemercontohan kegiatan
activity system	sistem berkreativitas
Act of God	peristiwa di luar kemampuan manusia
act of grace	pengampunan
Act of Notary	akte notaris
act on	mematuhi
act on advice	turut nasehat
actor	aktor
actor rational	pelaku rasional
act out	memainkan peranan
actress	aktris
act toward	memelihara
actual	nyata
actual amount	jumlah yang sebenarnya
actual cost	harga yang sebenarnya
actual horsepower	daya efektif
actuality	keadaan yang sebenarnya
actualize	mewujudkan
actualized	mewujudkan
actualizing	mewujudkan
actually	benar-benar
actually feel fine	sungguh merasa baik
actual market volume	volume pasar nyata
actual metric	metrik sejati
actual news	berita aktual
actual or potential	nyata atau potensial
actual output	output riil
actual pressure	tekanan riil
actual saving	tabungan nyata
actuarial	penafsiran asuransi
actuary	si penghitung asuransi
actuate	menggerakkan
actuated	menggerakkan
actuating	menggerakkan
actuation	penggiatan
actuator	penggiat
actuity	ketajaman
act up	bertindak tidak baik
act upon	bertindak sesuai dengan
act up to	taat kepada
acuan	reference
acuan-bawah	bottom swage
acuan/matriks	matrices
acuan/matriks	matrix
acuan tuang	casting-matrix
acuh	offish
acuh tak acuh	perfunctory
acuh tak acuh/tak memihak	indifferent
acuity	ketajaman
acumen	ketajaman
acungan jempol	thumbs-up
a cup of coffee	secangkir kopi
a cup of tea	secangkir teh
a cup of water	secangkir air
acupuncture	akupunktur
acupuncturist	ahli akupunktur
acute	akut
acute angle	sudut tajam
acute angled	bersudut runcing
acute angled triangle	segitiga sudut tajam
acute-health effects	berpenganuh jelek pada kesehatan
acutely	dengan sangat
acuteness	keakutan
AC voltage	tegangan arus bolak-balik
ad	iklan
ada	in existence
ada	there is
ada	exist
ada	existing
ada	there was
ada	do exist
ada	there were
ada	existent
ada	there's
ada	there are
ada-ada saja	always something else
ada apa	what the matter
ada apa ?	what is up
ada badai	a storm was on
ada beberapa	there are some
ada bersama	be with
ada desas-desus	tongues are wagging
ada di	be up in
ada di	be there on
ada di	be at
ada di antara	existed between
ada di mana-mana	be everywhere present
ada dimana mana	ubiquitous
ada di puncak	at the top
ada dipunyai . untuk	have any for
ada di sana	get there
ada di sana	be there
